date,drug_name,quantity_sold,region,hospital_name,unit_price,stock_available,lead_time_days,batch_id
2024-01-01,Amoxicillin,301,East,Lakeview General Hospital,65.46,755,7,AMO-2023-017
2024-01-08,Amoxicillin,346,East,Lakeview General Hospital,65.13,1181,2,AMO-2025-014
2024-01-15,Amoxicillin,362,East,Lakeview General Hospital,60.16,1168,2,AMO-2025-014
2024-01-22,Amoxicillin,292,East,Lakeview General Hospital,65.84,882,2,AMO-2025-014
2024-01-29,Amoxicillin,348,East,Lakeview General Hospital,65.11,826,4,AMO-2025-014
2024-02-05,Amoxicillin,379,East,Lakeview General Hospital,59.91,486,1,AMO-2025-014
2024-02-12,Amoxicillin,336,East,Lakeview General Hospital,57.59,1076,4,AMO-2025-014
2024-02-19,Amoxicillin,348,East,Lakeview General Hospital,57.54,1005,4,AMO-2025-014
2024-02-26,Amoxicillin,337,East,Lakeview General Hospital,65.16,801,7,AMO-2025-014
2024-03-04,Amoxicillin,360,East,Lakeview General Hospital,57.28,461,3,AMO-2025-014
2024-03-11,Amoxicillin,348,East,Lakeview General Hospital,59.18,790,2,AMO-2025-014
2024-03-18,Amoxicillin,353,East,Lakeview General Hospital,63.83,1091,3,AMO-2025-014
2024-03-25,Amoxicillin,365,East,Lakeview General Hospital,64.91,955,2,AMO-2025-014
2024-04-01,Amoxicillin,400,East,Lakeview General Hospital,61.3,1267,3,AMO-2025-014
2024-04-08,Amoxicillin,351,East,Lakeview General Hospital,64.41,720,1,AMO-2025-014
2024-04-15,Amoxicillin,351,East,Lakeview General Hospital,57.04,686,2,AMO-2025-014
2024-04-22,Amoxicillin,385,East,Lakeview General Hospital,63.14,1076,4,AMO-2025-014
2024-04-29,Amoxicillin,391,East,Lakeview General Hospital,62.21,1271,2,AMO-2025-014
2024-05-06,Amoxicillin,341,East,Lakeview General Hospital,57.42,1213,4,AMO-2025-014
2024-05-13,Amoxicillin,359,East,Lakeview General Hospital,60.91,582,3,AMO-2025-014
2024-05-20,Amoxicillin,351,East,Lakeview General Hospital,64.25,586,1,AMO-2025-014
