date,hospital_id,hospital_name,region,drug_name,quantity_used,quantity_requested,quantity_received
2024-01-01,H001,Green Valley Hospital,South,Insulin,88,94,89
2024-01-08,H001,Green Valley Hospital,South,Insulin,96,118,106
2024-01-15,H001,Green Valley Hospital,South,Insulin,93,114,114
2024-01-22,H001,Green Valley Hospital,South,Insulin,102,125,125
2024-01-29,H001,Green Valley Hospital,South,Insulin,98,98,86
2024-02-05,H001,Green Valley Hospital,South,Insulin,92,94,89
2024-02-12,H001,Green Valley Hospital,South,Insulin,100,118,118
2024-02-19,H001,Green Valley Hospital,South,Insulin,103,104,104
2024-02-26,H001,Green Valley Hospital,South,Insulin,95,102,97
2024-03-04,H001,Green Valley Hospital,South,Insulin,96,105,105
2024-03-11,H001,Green Valley Hospital,South,Insulin,85,107,107
2024-03-18,H001,Green Valley Hospital,South,Insulin,104,129,117
2024-03-25,H001,Green Valley Hospital,South,Insulin,95,114,109
2024-04-01,H001,Green Valley Hospital,South,Insulin,86,98,93
2024-04-08,H001,Green Valley Hospital,South,Insulin,87,93,93
2024-04-15,H001,Green Valley Hospital,South,Insulin,96,97,97
2024-04-22,H001,Green Valley Hospital,South,Insulin,101,114,114
2024-04-29,H001,Green Valley Hospital,South,Insulin,95,96,96
2024-05-06,H001,Green Valley Hospital,South,Insulin,97,99,87
2024-05-13,H001,Green Valley Hospital,South,Insulin,86,101,101
2024-05-20,H001,Green Valley Hospital,South,Insulin,84,84,72
2024-05-27,H001,Green Valley Hospital,South,Insulin,96,119,119
2024-06-03,H001,Green Valley Hospital,South,Insulin,92,107,107
2024-06-10,H001,Green Valley Hospital,South,Insulin,87,108,108
2024-06-17,H001,Green Valley Hospital,South,Insulin,93,118,118
2024-06-24,H001,Green Valley Hospital,South,Insulin,78,95,95
2024-07-01,H001,Green Valley Hospital,South,Insulin,79,83,83
2024-07-08,H001,Green Valley Hospital,South,Insulin,86,102,102
2024-07-15,H001,Green Valley Hospital,South,Insulin,89,103,103
2024-07-22,H001,Green Valley Hospital,South,Insulin,76,82,82
2024-07-29,H001,Green Valley Hospital,South,Insulin,85,86,81
2024-08-05,H001,Green Valley Hospital,South,Insulin,69,76,76
2024-08-12,H001,Green Valley Hospital,South,Insulin,73,95,90
2024-08-19,H001,Green Valley Hospital,South,Insulin,69,90,85
2024-08-26,H001,Green Valley Hospital,South,Insulin,59,63,63
2024-09-02,H001,Green Valley Hospital,South,Insulin,69,91,91
2024-09-09,H001,Green Valley Hospital,South,Insulin,72,73,73
2024-09-16,H001,Green Valley Hospital,South,Insulin,65,79,79
2024-09-23,H001,Green Valley Hospital,South,Insulin,65,89,89
2024-09-30,H001,Green Valley Hospital,South,Insulin,73,91,91
2024-10-07,H001,Green Valley Hospital,South,Insulin,57,79,67
2024-10-14,H001,Green Valley Hospital,South,Insulin,56,79,79
2024-10-21,H001,Green Valley Hospital,South,Insulin,61,70,70
2024-10-28,H001,Green Valley Hospital,South,Insulin,58,68,56
2024-11-04,H001,Green Valley Hospital,South,Insulin,73,79,79
