shipment_id,drug_name,batch_id,origin,destination,dispatch_time,delivery_time,latitude,longitude,status
SH001,Omeprazole,OME-2025-014,Nagpur,Bhopal,2025-01-10 20:15,2025-01-11 12:15,18.5779,86.5383,Delivered
SH002,Paracetamol,PAR-2023-019,Lucknow,Patna,2023-03-29 16:30,2023-03-29 23:30,20.0391,88.0437,Delivered
SH003,Amlodipine,AML-2025-003,Hyderabad,Hyderabad,2025-09-27 09:30,2025-09-28 17:30,16.2631,83.4049,Delivered
SH004,Ciprofloxacin,CIP-2024-011,Hyderabad,Pune,2025-08-06 10:00,,26.9789,82.4637,Delayed
SH005,Salbutamol,SAL-2024-015,Chennai,Pune,2024-08-12 08:30,2024-08-13 22:30,17.6395,81.4399,Delivered
SH006,Azithromycin,AZI-2025-013,Bhopal,Pune,2025-10-16 11:45,2025-10-18 00:45,24.6251,86.1226,Delivered
SH007,Atorvastatin,ATO-2024-013,Chandigarh,Kolkata,2023-05-10 14:30,2023-05-11 16:30,20.344,78.2568,Delivered
SH008,Amlodipine,AML-2025-002,Patna,Delhi,2025-05-26 19:00,2025-05-27 18:00,11.4014,75.3227,Delivered
SH009,Ciprofloxacin,CIP-2024-012,Pune,Chandigarh,2023-12-25 12:45,2023-12-26 23:45,24.5175,78.0955,Delivered
SH010,Ciprofloxacin,CIP-2024-006,Mysuru,Hyderabad,2023-05-17 09:30,,9.352,79.1113,Delayed
SH011,Cetirizine,CET-2023-013,Raipur,Lucknow,2025-06-24 15:45,2025-06-25 20:45,12.3857,84.1601,Delivered
SH012,Ciprofloxacin,CIP-2024-020,Mumbai,Chennai,2023-12-10 19:15,2023-12-12 07:15,10.5613,77.0217,Delivered
SH013,Metformin,MET-2024-005,Hyderabad,Mumbai,2024-06-14 17:45,,26.3734,83.8923,Delayed
SH014,Metformin,MET-2024-001,Hyderabad,Raipur,2023-02-24 20:15,2023-02-25 19:15,9.9237,83.3161,Delivered
SH015,Ibuprofen,IBU-2025-006,Bangalore,Patna,2024-06-13 07:00,2024-06-14 07:00,12.477,79.8238,Delivered
SH016,Cetirizine,CET-2025-016,Bhubaneswar,Ahmedabad,2024-10-01 13:00,,19.0262,79.9813,In Transit
SH017,Azithromycin,AZI-2024-001,Nagpur,Hyderabad,2025-04-04 14:15,2025-04-05 07:15,19.4103,85.6276,Delivered
SH018,Salbutamol,SAL-2023-005,Bangalore,Bhopal,2024-01-05 06:30,2024-01-06 13:30,15.6754,87.7723,Delivered
SH019,Atorvastatin,ATO-2025-015,Ahmedabad,Delhi,2024-09-24 12:45,2024-09-25 06:45,21.6676,86.6086,Delivered
SH020,Ciprofloxacin,CIP-2023-018,Patna,Bhubaneswar,2025-11-23 10:00,,17.7965,74.6399,In Transit
SH021,Ibuprofen,IBU-2025-016,Chandigarh,Bhopal,2024-10-02 15:15,2024-10-03 02:15,16.259,77.0213,Delivered
SH022,Paracetamol,PAR-2025-015,Lucknow,Lucknow,2023-01-27 13:15,2023-01-28 05:15,23.853,75.7188,Delivered
SH023,Metformin,MET-2023-019,Bangalore,Patna,2023-12-31 17:00,2024-01-01 01:00,15.2551,79.1866,Delivered
SH024,Atorvastatin,ATO-2024-014,Nagpur,Raipur,2025-07-24 16:15,2025-07-26 08:15,20.9607,88.3635,Delivered
SH025,Omeprazole,OME-2024-018,Bangalore,Lucknow,2024-12-19 17:30,,26.4292,85.3718,In Transit
SH026,Amlodipine,AML-2024-005,Bhubaneswar,Delhi,2025-07-12 11:45,2025-07-13 22:45,28.3067,87.0876,Delivered
SH027,Ciprofloxacin,CIP-2023-015,Bhopal,Mumbai,2024-06-24 15:30,2024-06-26 03:30,15.9726,78.1611,Delivered
SH028,Ibuprofen,IBU-2023-019,Kolkata,Lucknow,2023-03-13 19:45,,11.2996,86.842,In Transit
SH029,Ciprofloxacin,CIP-2024-012,Mumbai,Bangalore,2023-05-03 09:45,2023-05-03 14:45,8.1871,85.785,Delivered
SH030,Azithromycin,AZI-2023-022,Kolkata,Mumbai,2024-03-24 19:30,,20.8039,86.665,In Transit
SH031,Ibuprofen,IBU-2024-018,Delhi,Chennai,2024-01-01 20:30,2024-01-03 00:30,26.0522,74.0689,Delivered
SH032,Atorvastatin,ATO-2025-006,Mysuru,Mysuru,2024-09-11 15:45,,19.6883,84.007,In Transit
SH033,Omeprazole,OME-2023-022,Mysuru,Chennai,2025-09-15 17:45,,10.9064,87.0444,Delayed
SH034,Insulin,INS-2024-006,Delhi,Ahmedabad,2025-05-27 18:15,2025-05-27 22:15,16.0422,85.1089,Delivered
SH035,Cetirizine,CET-2023-001,Mumbai,Delhi,2025-03-18 18:00,2025-03-19 00:00,17.5639,78.9317,Delivered
SH036,Atorvastatin,ATO-2025-023,Ahmedabad,Lucknow,2024-08-14 20:45,,8.8471,79.9866,In Transit
SH037,Amlodipine,AML-2023-018,Patna,Delhi,2025-06-03 08:15,,18.4986,74.1927,In Transit
SH038,Atorvastatin,ATO-2025-006,Bangalore,Delhi,2024-08-26 16:00,,19.5133,82.3049,Delayed
SH039,Omeprazole,OME-2024-021,Patna,Delhi,2025-09-06 14:30,2025-09-07 23:30,16.1377,72.6221,Delivered
SH040,Atorvastatin,ATO-2023-020,Bhopal,Chennai,2025-11-11 09:00,2025-11-13 06:00,23.0787,83.2477,Delivered
SH041,Amlodipine,AML-2023-017,Bhopal,Raipur,2024-02-28 11:00,2024-02-28 20:00,22.9686,86.0957,Delivered
SH042,Ciprofloxacin,CIP-2024-011,Hyderabad,Chandigarh,2025-05-11 10:30,2025-05-11 23:30,18.1298,81.7198,Delivered
SH043,Metformin,MET-2025-015,Delhi,Bangalore,2023-03-18 06:00,,22.1955,82.0802,Delayed
SH044,Salbutamol,SAL-2025-003,Bhubaneswar,Pune,2025-01-23 15:15,2025-01-24 00:15,26.7139,85.895,Delivered
SH045,Atorvastatin,ATO-2025-001,Lucknow,Lucknow,2025-05-21 19:45,,11.6861,87.5839,In Transit
SH046,Amlodipine,AML-2024-004,Chennai,Bhubaneswar,2024-06-12 19:30,,14.6505,74.0155,In Transit
SH047,Amoxicillin,AMO-2023-008,Mysuru,Hyderabad,2023-05-21 18:15,2023-05-21 22:15,16.4545,72.8348,Delivered
SH048,Atorvastatin,ATO-2024-013,Chandigarh,Nagpur,2023-03-30 18:15,2023-03-31 19:15,24.2893,81.0123,Delivered
SH049,Atorvastatin,ATO-2025-021,Bhubaneswar,Chandigarh,2025-12-16 11:30,2025-12-16 19:30,19.0142,87.9503,Delivered
SH050,Amlodipine,AML-2024-015,Raipur,Bangalore,2025-11-04 16:15,2025-11-05 22:15,27.0936,80.8013,Delivered
SH051,Metformin,MET-2023-007,Ahmedabad,Delhi,2024-03-09 10:00,2024-03-10 06:00,16.8435,74.3933,Delivered
SH052,Ibuprofen,IBU-2024-001,Pune,Raipur,2024-10-23 17:30,2024-10-24 22:30,13.094,76.6141,Delivered
SH053,Cetirizine,CET-2024-010,Raipur,Delhi,2024-08-10 15:15,,9.4229,73.5869,In Transit
SH054,Ciprofloxacin,CIP-2024-011,Bangalore,Kolkata,2025-12-16 07:00,2025-12-16 15:00,15.4108,74.7757,Delivered
SH055,Ciprofloxacin,CIP-2024-023,Ahmedabad,Ahmedabad,2024-08-16 20:45,,26.4479,76.579,In Transit
SH056,Ciprofloxacin,CIP-2023-008,Patna,Ahmedabad,2024-08-19 13:00,2024-08-20 22:00,15.0181,85.8166,Delivered
SH057,Paracetamol,PAR-2025-002,Mumbai,Mumbai,2024-06-21 18:30,2024-06-23 16:30,14.8787,82.4982,Delivered
SH058,Paracetamol,PAR-2025-012,Bhopal,Delhi,2025-02-25 16:30,,13.3925,73.2305,In Transit
SH059,Atorvastatin,ATO-2025-023,Mumbai,Chandigarh,2023-09-18 16:00,2023-09-20 08:00,19.9651,73.4929,Delivered
SH060,Cetirizine,CET-2023-008,Chandigarh,Delhi,2025-06-02 11:15,2025-06-02 23:15,15.5722,84.2949,Delivered
SH061,Ciprofloxacin,CIP-2025-016,Bhopal,Patna,2023-04-25 19:15,2023-04-26 09:15,13.8482,78.5924,Delivered
SH062,Paracetamol,PAR-2025-016,Raipur,Chennai,2024-02-18 18:45,2024-02-19 21:45,12.9379,86.7859,Delivered
SH063,Amoxicillin,AMO-2025-002,Bangalore,Delhi,2025-10-07 12:30,,13.7777,80.0614,In Transit
SH064,Cetirizine,CET-2025-016,Kolkata,Chandigarh,2025-12-18 07:45,2025-12-18 18:45,17.9417,87.2694,Delivered
SH065,Salbutamol,SAL-2024-006,Pune,Mumbai,2023-08-31 09:00,2023-09-01 06:00,15.4034,80.0067,Delivered
SH066,Ciprofloxacin,CIP-2023-007,Mumbai,Bhopal,2025-11-12 09:45,,19.5389,86.4235,In Transit
SH067,Atorvastatin,ATO-2024-017,Bhopal,Chandigarh,2023-10-31 06:15,2023-11-01 19:15,11.4983,86.3346,Delivered
SH068,Cetirizine,CET-2024-002,Delhi,Chandigarh,2023-09-29 13:45,2023-09-30 01:45,9.5259,79.7482,Delivered
SH069,Amoxicillin,AMO-2025-009,Mumbai,Chandigarh,2023-12-06 18:30,,10.454,88.2469,In Transit
SH070,Atorvastatin,ATO-2024-008,Bhopal,Patna,2023-01-12 16:00,,17.6412,84.3473,Delayed
SH071,Salbutamol,SAL-2024-006,Pune,Chennai,2025-01-16 08:45,2025-01-17 08:45,23.1776,86.2171,Delivered
SH072,Amlodipine,AML-2025-023,Patna,Chennai,2023-01-05 15:45,2023-01-06 00:45,17.2123,86.1015,Delivered
SH073,Amlodipine,AML-2024-028,Delhi,Mumbai,2023-12-07 17:30,2023-12-09 10:30,12.0868,73.5597,Delivered
SH074,Amlodipine,AML-2023-017,Bhopal,Hyderabad,2024-02-09 09:00,2024-02-10 19:00,15.6611,86.1523,Delivered
SH075,Salbutamol,SAL-2023-005,Chennai,Ahmedabad,2024-02-18 09:45,2024-02-19 01:45,14.3527,85.0495,Delivered
SH076,Metformin,MET-2024-009,Bhubaneswar,Bangalore,2024-02-21 08:30,2024-02-22 14:30,21.7077,72.8673,Delivered
SH077,Amlodipine,AML-2023-029,Mumbai,Bangalore,2024-12-04 15:30,2024-12-06 09:30,17.3103,81.49,Delivered
SH078,Omeprazole,OME-2024-017,Kolkata,Pune,2024-12-08 14:00,2024-12-09 11:00,27.6851,74.8864,Delivered
SH079,Amlodipine,AML-2024-010,Kolkata,Raipur,2025-01-23 20:00,,12.8034,75.18,Delayed
SH080,Salbutamol,SAL-2023-013,Chandigarh,Pune,2023-05-26 16:15,2023-05-27 05:15,27.6171,76.803,Delivered
SH081,Ibuprofen,IBU-2024-015,Kolkata,Mumbai,2025-07-04 20:00,2025-07-05 01:00,26.5313,73.6286,Delivered
SH082,Omeprazole,OME-2025-003,Nagpur,Bangalore,2024-06-26 12:30,2024-06-28 10:30,21.395,80.7048,Delivered
SH083,Omeprazole,OME-2023-022,Chennai,Pune,2025-06-05 20:15,,9.5584,86.8607,Delayed
SH084,Metformin,MET-2023-014,Mumbai,Ahmedabad,2024-07-16 16:15,2024-07-17 22:15,15.5085,80.8818,Delivered
SH085,Ciprofloxacin,CIP-2025-026,Bangalore,Lucknow,2024-11-29 13:15,,14.7263,87.2219,In Transit
SH086,Metformin,MET-2023-016,Hyderabad,Ahmedabad,2024-09-28 13:30,2024-09-29 07:30,28.0533,73.9232,Delivered
SH087,Paracetamol,PAR-2025-002,Pune,Nagpur,2024-04-06 20:15,2024-04-07 23:15,23.073,78.2549,Delivered
SH088,Paracetamol,PAR-2025-017,Chandigarh,Mumbai,2024-08-24 16:15,,10.3185,80.6581,In Transit
SH089,Paracetamol,PAR-2025-011,Pune,Raipur,2024-10-12 13:45,2024-10-13 14:45,19.8277,78.1909,Delivered
SH090,Cetirizine,CET-2023-008,Chandigarh,Mumbai,2025-10-10 17:00,2025-10-12 16:00,21.8572,75.075,Delivered
SH091,Amoxicillin,AMO-2023-015,Ahmedabad,Chandigarh,2024-07-17 16:15,2024-07-19 12:15,13.0957,81.9748,Delivered
SH092,Omeprazole,OME-2024-002,Pune,Patna,2023-07-31 08:00,,17.3259,83.1541,Delayed
SH093,Insulin,INS-2023-001,Chennai,Delhi,2025-10-06 14:45,2025-10-08 05:45,13.585,73.6208,Delivered
SH094,Paracetamol,PAR-2024-005,Kolkata,Chennai,2023-09-22 08:15,2023-09-22 23:15,13.4352,83.8776,Delivered
SH095,Azithromycin,AZI-2025-015,Bhopal,Delhi,2023-11-21 20:00,,11.0466,77.8657,Delayed
SH096,Amlodipine,AML-2025-026,Hyderabad,Bhubaneswar,2025-09-02 17:45,2025-09-03 13:45,14.8268,87.3356,Delivered
SH097,Omeprazole,OME-2025-014,Nagpur,Bangalore,2023-06-08 15:00,2023-06-10 15:00,27.958,74.6082,Delivered
SH098,Paracetamol,PAR-2025-008,Nagpur,Patna,2023-09-09 08:15,2023-09-11 02:15,27.0439,81.466,Delivered
SH099,Amlodipine,AML-2023-017,Raipur,Mysuru,2023-12-21 10:00,,14.3833,73.6545,In Transit
SH100,Omeprazole,OME-2023-009,Bhopal,Lucknow,2024-01-04 09:45,2024-01-05 18:45,24.221,76.1999,Delivered
SH101,Atorvastatin,ATO-2025-023,Ahmedabad,Pune,2023-05-22 06:15,,12.4237,85.9391,In Transit
SH102,Omeprazole,OME-2023-019,Bhubaneswar,Mysuru,2025-09-30 14:30,2025-09-30 21:30,8.6335,84.0898,Delivered
