supplier_id,supplier_name,drug_name,price,delivery_days,on_time_rate,quality_score,rejection_rate,orders_completed
V005,Global Pharma Traders,Insulin,279.97,1,88.2,88.6,5.59,393
V001,Pharma Supplier A,Atorvastatin,72.58,6,84.2,98.0,0.72,333
V002,Pharma Supplier B,Salbutamol,92.7,6,98.9,95.5,0.58,330
V001,Pharma Supplier A,Azithromycin,41.07,3,92.4,90.0,0.4,83
V003,MediSource Distributors,Ciprofloxacin,58.59,5,90.4,87.2,5.89,156
V003,MediSource Distributors,Atorvastatin,81.68,10,95.3,87.3,1.72,244
V002,Pharma Supplier B,Atorvastatin,71.31,4,88.7,97.7,4.41,108
V004,HealthLink Logistics,Ibuprofen,28.53,10,99.1,87.2,2.32,44
V004,HealthLink Logistics,Amlodipine,31.94,6,93.3,90.5,1.77,89
V002,Pharma Supplier B,Metformin,43.99,10,90.0,93.7,1.0,349
V003,MediSource Distributors,Amlodipine,36.49,5,80.0,95.3,2.71,55
V003,MediSource Distributors,Azithromycin,40.63,5,90.7,89.7,1.64,169
V003,MediSource Distributors,Metformin,40.77,1,93.6,97.8,3.99,78
V005,Global Pharma Traders,Paracetamol,21.39,5,96.9,86.1,3.85,240
V002,Pharma Supplier B,Amoxicillin,58.33,6,88.9,97.3,1.97,80
V004,HealthLink Logistics,Amlodipine,36.57,5,93.8,95.8,5.72,329
V006,TrustCare Vendors,Salbutamol,91.84,5,85.3,93.8,1.56,42
V001,Pharma Supplier A,Atorvastatin,75.64,3,92.8,89.9,1.76,340
V002,Pharma Supplier B,Amlodipine,38.16,5,83.5,97.7,0.84,109
V001,Pharma Supplier A,Amoxicillin,56.52,10,82.6,98.8,2.63,317
V004,HealthLink Logistics,Insulin,275.36,2,80.4,89.6,1.03,328
V001,Pharma Supplier A,Insulin,282.31,5,96.0,97.6,5.8,279
V006,TrustCare Vendors,Insulin,335.52,7,92.7,92.9,1.91,109
V002,Pharma Supplier B,Omeprazole,49.01,7,83.5,89.4,0.99,185
V005,Global Pharma Traders,Amoxicillin,57.06,2,90.3,93.8,2.85,68
V005,Global Pharma Traders,Ciprofloxacin,68.05,2,91.1,93.8,1.08,188
V003,MediSource Distributors,Cetirizine,18.8,2,82.0,95.2,4.81,153
V003,MediSource Distributors,Paracetamol,22.16,5,93.5,90.4,2.19,98
V004,HealthLink Logistics,Omeprazole,55.72,1,86.6,89.7,3.18,181
V001,Pharma Supplier A,Metformin,41.11,7,93.3,90.2,3.41,322
V003,MediSource Distributors,Omeprazole,50.51,2,95.6,89.4,0.69,119
V006,TrustCare Vendors,Cetirizine,18.92,5,90.8,92.8,2.58,305
V005,Global Pharma Traders,Azithromycin,39.75,4,82.0,87.0,4.1,348
V005,Global Pharma Traders,Salbutamol,76.53,4,81.0,85.2,1.57,98
V004,HealthLink Logistics,Ciprofloxacin,69.55,3,83.0,92.6,5.42,314
V004,HealthLink Logistics,Omeprazole,57.87,1,98.7,96.3,4.15,175
V005,Global Pharma Traders,Salbutamol,94.13,1,87.1,97.8,4.17,250
V002,Pharma Supplier B,Atorvastatin,79.99,6,98.7,85.1,5.4,385
V006,TrustCare Vendors,Omeprazole,54.34,3,80.2,91.9,5.0,223
V003,MediSource Distributors,Atorvastatin,87.88,10,80.9,86.8,0.64,311
